1000 	 1.152833 	 83.795200 	 14.225800 	 7.097800 	 0.878400 	 -27.936900 	 0.093555 	 0.387957 	 0.085140 	 0.261970 	 0.023277 	 0.000000 	 0.000000 	 1.106101 	 18.372200 	 15.570500 	 5.605400 	 0.716700 	 -51.243200 	 17.149400 	 16.051200 	 0.545900 	 22.573700 	 1.105674 	 16.807500 	 15.660000 	 5.521300 	 0.703600 	 -52.184800 	 29.599900 	 15.933000 	 1.126700 	 0.561000 	 21.624600
1001 	 0.985760 	 57.169400 	 13.594700 	 6.216400 	 0.799800 	 -33.435000 	 0.024389 	 0.264331 	 0.003023 	 0.090316 	 0.041068 	 0.000000 	 0.000000 	 0.964750 	 10.710700 	 14.761500 	 3.372100 	 0.822200 	 -33.596000 	 39.854300 	 14.561800 	 0.660300 	 -33.628600 	 0.991557 	 55.755500 	 13.609900 	 6.167700 	 0.800000 	 -33.364200 	 945.460100 	 20.179100 	 0.162000 	 0.050000 	 -74.753000
1005 	 1.302156 	 3073.004600 	 12.573300 	 17.237300 	 0.813100 	 -55.174800 	 0.171806 	 0.271047 	 0.252078 	 0.160840 	 0.019460 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 4.437942 	 549.290500 	 12.496900 	 5.746600 	 0.483500 	 -48.119000 	 31387.671900 	 22.611800 	 1.364300 	 0.337500 	 -47.154300
1009 	 1.029182 	 21.155200 	 14.728100 	 5.321000 	 0.803400 	 -44.625300 	 0.016082 	 0.038934 	 0.017286 	 0.334488 	 0.140320 	 1.000000 	 1.000000 	 1.028445 	 18.018400 	 14.850700 	 5.080100 	 0.798200 	 -43.484100 	 16.102800 	 18.307400 	 0.572600 	 83.801400 	 1.028237 	 7.663600 	 15.592600 	 3.960700 	 0.799500 	 -42.984400 	 32.408800 	 15.638000 	 2.230800 	 0.814800 	 -50.902100
1011 	 0.984708 	 319.220400 	 13.110100 	 8.855600 	 0.840000 	 80.078600 	 0.022178 	 0.227571 	 0.005159 	 0.125029 	 0.019356 	 0.000000 	 0.000000 	 0.979126 	 10.339000 	 15.485600 	 3.299000 	 0.874000 	 81.128000 	 34.358700 	 14.802300 	 0.751000 	 78.711300 	 2.380183 	 84.425900 	 13.252300 	 4.569200 	 0.838200 	 82.758000 	 3446.730200 	 19.491300 	 0.072800 	 0.443100 	 -1449631922796219295716081664.000000
1012 	 1.002389 	 18.703200 	 15.014400 	 4.232100 	 0.895200 	 37.750200 	 0.016362 	 0.292092 	 0.008422 	 0.077627 	 0.033936 	 0.000000 	 0.000000 	 0.997229 	 14.167000 	 15.210400 	 3.738500 	 0.897700 	 38.354100 	 190.945800 	 13.431300 	 0.628300 	 27.837100 	 1.000484 	 9.790000 	 15.540000 	 3.253500 	 0.888500 	 38.921300 	 37.946000 	 16.225800 	 1.278400 	 0.995200 	 -15.079400
1013 	 1.128793 	 73.806900 	 13.983700 	 5.854400 	 0.731600 	 -28.108500 	 0.104997 	 0.373621 	 0.116959 	 0.092179 	 0.045862 	 0.000000 	 0.000000 	 1.155491 	 110.492400 	 13.762700 	 6.994600 	 0.733300 	 -28.155200 	 0.291000 	 91.517100 	 0.050000 	 31.335400 	 1.113662 	 2.815200 	 16.949000 	 1.699400 	 0.864500 	 -35.142800 	 36.902800 	 14.631500 	 2.051600 	 0.664900 	 -26.519000
1015 	 1.009750 	 17.398400 	 15.365200 	 6.098000 	 0.708200 	 -50.525000 	 0.013008 	 0.209090 	 0.005802 	 0.080402 	 0.003988 	 0.000000 	 0.000000 	 1.002705 	 9.931000 	 15.768800 	 5.326400 	 0.724700 	 -47.424700 	 10.856300 	 17.676200 	 0.527900 	 -63.113500 	 1.002747 	 10.351300 	 15.736000 	 5.378000 	 0.724300 	 -47.612700 	 18.140500 	 17.800600 	 0.922700 	 0.514000 	 -63.352200
1016 	 0.990418 	 29.379800 	 14.672800 	 3.059300 	 0.734400 	 -79.331800 	 0.032924 	 0.207472 	 -0.006504 	 0.128517 	 0.056280 	 0.000000 	 0.000000 	 0.943690 	 8.216700 	 15.880500 	 1.468500 	 0.792200 	 -78.821500 	 36.926700 	 14.940600 	 0.591000 	 -82.060300 	 0.934767 	 4.771200 	 16.977500 	 0.895100 	 0.940100 	 -75.402300 	 64.625300 	 14.393600 	 2.865800 	 0.642100 	 -80.782400
1017 	 1.066759 	 903.564100 	 12.107200 	 9.261300 	 0.799500 	 16.211800 	 0.092808 	 0.297517 	 0.028526 	 0.078243 	 0.004650 	 0.000000 	 0.000000 	 0.999259 	 4.852000 	 16.057600 	 1.294100 	 0.775000 	 -3.459100 	 39.214300 	 13.916400 	 0.691700 	 33.477200 	 1.776139 	 231.013100 	 12.246700 	 5.024800 	 0.780200 	 10.271100 	 24569.017600 	 19.588700 	 0.076900 	 0.898800 	 -202392912120512512.000000
1018 	 0.988922 	 46.113700 	 14.304200 	 4.349100 	 0.808600 	 26.949200 	 0.021721 	 0.278967 	 0.012562 	 0.030613 	 0.029511 	 0.000000 	 0.000000 	 0.979968 	 5.969800 	 16.160000 	 1.768400 	 0.849000 	 33.320900 	 22.543400 	 15.032300 	 0.740500 	 20.845100 	 0.980180 	 7.585200 	 15.933500 	 2.128500 	 0.847100 	 33.473900 	 44.885300 	 15.011100 	 1.136900 	 0.719400 	 19.912500
